title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
Claude Code is Amazing!,2025-08-01 16:15:06+00:00,PT20M40S,116023,3900,405,1240.0,16,Friday,1
I Tried Devin - First AI Software Engineer | It Will Replace Your Software Jobs?,2025-07-30 06:56:28+00:00,PT24M49S,413784,10252,1549,1489.0,6,Wednesday,1
SQL Tutorial for Beginners (Complete Course using MySQL),2025-07-13 15:48:18+00:00,PT3H57M54S,481106,16140,1644,14274.0,15,Sunday,1
Your First Programming Language in the AI Era Should be...,2025-07-05 11:30:20+00:00,PT12M29S,651993,23946,1862,749.0,11,Saturday,1
You can do much more with AI 🔥,2025-07-03 13:30:28+00:00,PT10M49S,141941,6814,412,649.0,13,Thursday,1
AI & Machine Learning Roadmap (No Fluff),2025-06-22 06:18:43+00:00,PT13M5S,383297,16167,1224,785.0,6,Sunday,1
The Shocking History of AI and Machine Learning! - Journey since 1939 🔥,2025-06-14 15:43:44+00:00,PT10M10S,160306,5921,516,610.0,15,Saturday,1
How to Win in the AI Era (Do this)!,2025-06-09 13:15:07+00:00,PT15M10S,427395,17282,970,910.0,13,Monday,1
We Need to Talk!,2025-06-01 13:02:42+00:00,PT18M30S,694393,28315,2468,1110.0,13,Sunday,1
Trae AI – The Smartest AI IDE + MCP Tool for Developers,2025-05-29 11:30:22+00:00,PT14M10S,184038,4621,365,850.0,11,Thursday,1
Top E-Commerce Growth Hacks for 2025 for Programmers (That Actually Work)🔥,2025-05-25 15:30:25+00:00,PT7M53S,28772,1254,141,473.0,15,Sunday,1
This AI Voice Assistant feels so Human (Real Talking Human) 🔥,2025-05-24 11:30:35+00:00,PT17M15S,53460,2446,218,1035.0,11,Saturday,1
Let's Try YouWare: Free & Online Vibe Coding Tool 🔥,2025-05-22 13:30:33+00:00,PT17M31S,66706,2563,250,1051.0,13,Thursday,1
"Lets Vibe Code a Pdf Merger Application using Clerk, Cursor AI and Next.js🔥",2025-05-17 15:16:59+00:00,PT35M3S,30114,1067,165,2103.0,15,Saturday,1
Complete Python Programming Roadmap (Zero to Expert) 🐍,2025-05-09 12:51:50+00:00,PT12M52S,622880,24606,1263,772.0,12,Friday,1
Is Vibe Coding future of Programming | Vibe Coding Hackathon 2025 🔥,2025-05-01 16:02:21+00:00,PT8M31S,79841,3669,530,511.0,16,Thursday,1
Top Skills Every Software Engineer Should Learn in 2025 🔥,2025-04-30 13:06:46+00:00,PT15M20S,592666,20283,1030,920.0,13,Wednesday,1
The Complete Data Science Roadmap (Get Hired in 2025),2025-04-24 13:53:12+00:00,PT15M27S,531833,21085,1401,927.0,13,Thursday,1
Vibe Coding Secrets for Maximum Productivity 🔥,2025-04-20 14:45:04+00:00,PT13M11S,96272,4285,382,791.0,14,Sunday,1
Biggest Announcement!!! 📢📢📢,2025-04-09 13:52:12+00:00,PT11M51S,662896,32763,5471,711.0,13,Wednesday,1
What is Vibe Coding? What will happen to Developers now?,2025-03-29 06:42:29+00:00,PT20M32S,209996,7911,597,1232.0,6,Saturday,1
GitHub Copilot is Insane?,2025-03-20 12:00:50+00:00,PT20M22S,75039,2127,274,1222.0,12,Thursday,1
Your B.Tech/BCA/B.Sc. degree - Does it matter? Which one to Choose?,2025-03-14 15:30:23+00:00,PT10M16S,473231,23005,2062,616.0,15,Friday,1
Cursor AI Tutorial - My Personal Tips & Tricks (AI Code Editor),2025-03-07 05:49:25+00:00,PT37M32S,654193,18886,969,2252.0,5,Friday,1
Automate Tasks with Pre-Built AI Agents | n8n Tutorial 🔥,2025-03-04 15:10:17+00:00,PT15M47S,154735,4284,214,947.0,15,Tuesday,1
How to Build a Realistic Clothing Store for E-commerce using Wordpress + Email Marketing 🔥,2025-03-01 12:01:15+00:00,PT34M26S,70185,2657,192,2066.0,12,Saturday,1
Claude 3.7 Thinking is INSANE🔥 #coding #ai #claude,2025-02-28 11:30:07+00:00,PT58S,184900,11065,228,58.0,11,Friday,1
Best way to implement Auth in Next.js 15 - Step by Step Clerk Guide 🔥,2025-02-20 13:58:04+00:00,PT36M23S,30406,934,175,2183.0,13,Thursday,1
Will AI replace Software Developers?,2025-02-17 13:49:16+00:00,PT17M51S,279074,11093,887,1071.0,13,Monday,1
Amazing VS code Extension 🔥#nextjs #webdevelopment,2025-02-17 08:06:34+00:00,PT40S,207696,13735,76,40.0,8,Monday,1
What is Grafana - Installation using Docker & Use cases 🔥,2025-02-16 13:53:41+00:00,PT13M32S,33228,1069,115,812.0,13,Sunday,1
Horizontal vs Vertical Scaling 🔥,2025-02-15 13:50:40+00:00,PT58S,91949,5561,43,58.0,13,Saturday,1
AI software developer 😯,2025-02-10 07:10:02+00:00,PT59S,214190,17914,244,59.0,7,Monday,1
This FREE AI can create your Apps in seconds | Let's Try Replit Agent 🤖,2025-02-08 11:30:03+00:00,PT19M47S,638308,20360,1107,1187.0,11,Saturday,1
Lets build a peer-to-peer Pong game using Pears 🍐,2025-02-07 12:01:46+00:00,PT12M15S,27524,1074,125,735.0,12,Friday,1
Make Money From Blogging in 2025 (Easier than ever!),2025-02-05 16:00:31+00:00,PT9M15S,156554,5802,286,555.0,16,Wednesday,1
"Lets Build a Password Manager using Next.js, Clerk, Tailwind CSS and Shadcn UI 🔥",2025-02-03 14:22:47+00:00,PT1H54M46S,37550,1463,154,6886.0,14,Monday,1
"Ditch ChatGPT, Run Deepseek R1 like this (FREE!!)",2025-01-31 15:00:35+00:00,PT11M9S,133168,5399,431,669.0,15,Friday,1
Deepseek - a cheater? (Exposed),2025-01-30 09:32:28+00:00,PT8M3S,443416,18863,1879,483.0,9,Thursday,1
An Amazing AI Tool For Data Analysis 🔥,2025-01-29 15:30:00+00:00,PT17M17S,103842,4653,311,1037.0,15,Wednesday,1
Unbelievable Move by Deepseek | Beats DALLE-3! (How To Use for Free),2025-01-29 05:03:49+00:00,PT4M6S,211826,8490,720,246.0,5,Wednesday,1
DeepSeek R1: Is Your Job in Danger? (The Truth),2025-01-28 05:12:35+00:00,PT16M39S,726826,30927,2221,999.0,5,Tuesday,1
Learn Wordpress in 2025 - Here's Why!,2025-01-26 11:30:19+00:00,PT10M52S,206848,6863,511,652.0,11,Sunday,1
AI for Data Science🔥,2025-01-25 11:30:05+00:00,PT52S,238374,16966,145,52.0,11,Saturday,1
Python Pandas Crash Course (2025),2025-01-24 12:18:01+00:00,PT36M57S,187838,6510,1842,2217.0,12,Friday,1
Web Developer Roadmap (2025) - Everything is Changing,2025-01-21 04:06:32+00:00,PT21M48S,1615256,60460,2482,1308.0,4,Tuesday,0
Creating a Wordpress Travel Blog in less than 10 Minutes 🔥,2025-01-13 17:48:03+00:00,PT13M35S,36814,1371,197,815.0,17,Monday,1
"Let's build a Chat app using Clerk, Stream & Next.js 🔥",2025-01-10 14:30:05+00:00,PT1H42M26S,52340,1968,306,6146.0,14,Friday,1
Learn Coding & Get a Job (in 2025) 🔥,2025-01-08 13:24:58+00:00,PT16M54S,3250254,135578,4711,1014.0,13,Wednesday,0
CodeWithHarry 2024 Rewind 🔥,2024-12-29 11:30:33+00:00,PT5M44S,59865,4972,863,344.0,11,Sunday,1
Upcoming Products (Google Insider Reveals),2024-12-29 05:30:04+00:00,PT33S,61415,2796,18,33.0,5,Sunday,1
